	speaker	domain	language
12537	gokdti	dengan nenek dan kakek	jawa ngoko
12539	gokdti	dengan sanak saudara (tante, om, sepupu, dll)	jawa ngoko
12540	gokdti	dengan tetangga	jawa krama
12542	gokdti	apabila marah	jawa ngoko
12543	gokdti	dalam mimpi	jawa
12544	gokdti	berhitung	jawa
12545	gokdti	kirim sms ke keluarga	jawa krama
12546	gokdti	kirim sms ke teman	indonesia
12548	gokdti	dalam jejaring sosial (fb)	jawa
12549	gokdti	berdoa dalam hati	indonesia
12550	gokdti	berdoa di tempat ibadah	indonesia
12551	gokdti	di rumah	jawa ngoko
12552	gokdti	di tempat kerja	jawa krama
12553	gokdti	di pasar	jawa krama
12554	gokdti	di warung	jawa ngoko
12555	gokdti	di bank	indonesia
12556	gokdti	di kantor pos	indonesia
12557	gokdti	di sd dengan guru	jawa krama
12558	gokdti	di sd dengan teman sekelas	jawa ngoko
12559	gokdti	di sma dengan guru	jawa krama
12560	gokdti	di sma dengan teman sekelas	jawa ngoko
12561	gokdti	di kendaraan umum	jawa ngoko
12562	gokdti	membaca novel/buku cerita	tergantung isi
12563	gokdti	membaca koran	tergantung isi
12564	gokdti	membaca majalah	tergantung isi
12565	gokdti	mendengar musik	tergantung lirik
12566	gokdti	mendengar radio	tergantung channel
12567	gokdti	menonton tv	tergantung channel
12568	adrrsg	dengan ibu	jawa ngoko
12569	adrrsg	dengan bapak	jawa ngoko
12570	adrrsg	dengan kakak/adik	jawa ngoko
12571	adrrsg	dengan nenek dan kakek	jawa ngoko
12573	adrrsg	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama madya
12574	adrrsg	dengan tetangga	jawa krama madya
12576	adrrsg	apabila marah	jawa ngoko
12577	adrrsg	dalam mimpi	jawa ngoko
12578	adrrsg	berhitung	indonesia
12579	adrrsg	berhitung	jawa
12580	adrrsg	kirim sms ke keluarga	jawa
12581	adrrsg	kirim sms ke teman	indonesia
12582	adrrsg	kirim sms ke teman	jawa
12584	adrrsg	dalam jejaring sosial (fb)	indonesia
12585	adrrsg	dalam jejaring sosial (fb)	jawa
12586	adrrsg	berdoa dalam hati	indonesia
12587	adrrsg	berdoa di tempat ibadah	indonesia
12588	adrrsg	di rumah	jawa ngoko
12590	adrrsg	di pasar	jawa krama madya
12591	adrrsg	di warung	jawa ngoko
12592	adrrsg	di bank	indonesia
12593	adrrsg	di kantor pos	indonesia
12594	adrrsg	di sd dengan guru	jawa krama inggi
12595	adrrsg	di sd dengan teman sekelas	jawa ngoko
12596	adrrsg	di sma dengan guru	jawa krama
12597	adrrsg	di sma dengan guru	indonesia
12598	adrrsg	di sma dengan teman sekelas	jawa ngoko
12599	adrrsg	di kendaraan umum	indonesia
12600	adrrsg	membaca novel/buku cerita	indonesia
12601	adrrsg	membaca koran	indonesia
12602	adrrsg	membaca majalah	indonesia
12603	adrrsg	membaca majalah	jawa
12604	adrrsg	mendengar musik	indonesia
12605	adrrsg	mendengar radio	indonesia
12606	adrrsg	menonton tv	indonesia
12607	qziqzc	dengan ibu	ngoko
12608	qziqzc	dengan ibu	krama madya
12609	qziqzc	dengan bapak	ngoko
12610	qziqzc	dengan bapak	krama madya
12611	qziqzc	dengan kakak/adik	ngoko
12612	qziqzc	dengan nenek dan kakek	krama madya
12614	qziqzc	dengan sanak saudara (tante, om, sepupu, dll)	ngoko
12615	qziqzc	dengan sanak saudara (tante, om, sepupu, dll)	krama madya
12616	qziqzc	dengan tetangga	ngoko
12618	qziqzc	apabila marah	ngoko
12619	qziqzc	dalam mimpi	ngoko
12620	qziqzc	berhitung	ngoko
12621	qziqzc	kirim sms ke keluarga	ngoko
12622	qziqzc	kirim sms ke teman	ngoko
12624	qziqzc	dalam jejaring sosial (fb)	indonesia
12625	qziqzc	berdoa dalam hati	indonesia
12626	qziqzc	berdoa dalam hati	jawa
12627	qziqzc	berdoa di tempat ibadah	arab
12628	qziqzc	berdoa di tempat ibadah	indonesia
12629	qziqzc	di rumah	jawa
12631	qziqzc	di pasar	jawa
12632	qziqzc	di warung	jawa
12633	qziqzc	di bank	indonesia
12634	qziqzc	di kantor pos	indonesia
12635	qziqzc	di sd dengan guru	indonesia
12636	qziqzc	di sd dengan teman sekelas	jawa
12637	qziqzc	di sma dengan guru	indonesia
12638	qziqzc	di sma dengan guru	jawa
12639	qziqzc	di sma dengan teman sekelas	jawa
12641	qziqzc	membaca novel/buku cerita	indonesia
12642	qziqzc	membaca novel/buku cerita	jawa
12643	qziqzc	membaca koran	indonesia
12644	qziqzc	membaca majalah	jawa
12645	qziqzc	mendengar musik	indonesia
12646	qziqzc	mendengar radio	indonesia
12647	qziqzc	menonton tv	indonesia
12648	qvspzs	dengan ibu	ngoko
12649	qvspzs	dengan ibu	krama madya
12650	qvspzs	dengan bapak	ngoko
12651	qvspzs	dengan bapak	krama madya
12652	qvspzs	dengan kakak/adik	ngoko
12653	qvspzs	dengan nenek dan kakek	ngoko
12654	qvspzs	dengan nenek dan kakek	krama madya
12656	qvspzs	dengan sanak saudara (tante, om, sepupu, dll)	ngoko
12657	qvspzs	dengan tetangga	ngoko
