"Jambi-Unja-November-2013","YOTKIH","140124161838523017662949","1995","Jambi - Kabupaten Sarolangun","Perempuan","saudara/kakak"
"Jambi-Unja-November-2013","HAVUGI","140125010116199664472322","1995","Jambi","Perempuan","Orangtua"
"Jambi-Unja-November-2013","JROEGM","140125014024816662023401","1995","Jambi","Perempuan","Mama angkat"
"Jambi-Unja-November-2013","JZRBIK","140125022615234549067774","1995","Jambi - Kabupaten Tanjung Jabung Timur","Perempuan","Orang tua"
"Jambi-Unja-November-2013","FDPGUQ","140125024033350267219869","1994","Jambi - Kota Jambi","Perempuan","Orang tua"
"Jambi-Unja-November-2013","LMMWRS","140125025431589886196096","1995","Jambi - Kabupaten Tebo","Perempuan","Orangtua"
"Jambi-Unja-November-2013","PQAXZC","140125032416728038377500","1994","Jambi - Muara Bungo","Perempuan","Orangtua"
"Jambi-Unja-November-2013","BIJMRG","140125034119423547105537","1995","Jambi - Kabupaten Batanghari","Perempuan","Orangtua"
"Jambi-Unja-November-2013","FVIJIF","140125034251359136964892","1995","Jambi - Kabupaten Bungo","Perempuan","Orang tua"
"Jambi-Unja-November-2013","OAPIRD","140125210959258889877376","1992","Jambi - Kabupaten Muaro Jambi","Perempuan","Orang tua"
"Jambi-Unja-November-2013","LLJJJJ","140125215508529796483553","1995","Jambi - Kota Jambi","Perempuan","Orangtua"
"Jambi-Unja-November-2013","UQBWIX","140125215615963558083818","1995","Jambi - Kotamadya","Perempuan","Orangtua"
"Jambi-Unja-November-2013","NCLKNJ","140125221524909450955920","1994","Jambi - Tungkai Ulu","Laki","Orang tua"
"Jambi-Unja-November-2013","RXGDAA","140126042100848387393214","1995","Jambi - Kabupaten Tebo","Laki","Orang tua dan kakak"
"Jambi-Unja-November-2013","KHCHVT","140126045421583524201670","1991","DKI Jakarta - Jakarta","Perempuan","Orangtua"
"Bali-Undiksha-December-2013","KLEUSP","140225123159892430339799","1996","Bali - Kabupaten Jembrana","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","IWRKHC","140225153704327978204190","1995","Bali - Kabupaten Karangasem","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","GFHMOB","140225155030762713685211","1995","Bali - Kabupaten Bangli","Perempuan","Keluarga"
"Bali-Undiksha-December-2013","JCCHKW","140225162703796908256829","1994","Bali - Kabupaten Buleleng","Perempuan","Orang tua"
"Bali-Undiksha-December-2013","UEYAQP","140225170816679409632179","1995","Bali - Kabupaten Buleleng","Perempuan","Orang tua"
