,,,,,,,,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
#21 5Mar UI,JUVFUB,1.30404E+23,1989,Jawa Barat - Kota Bogor,Perempuan,Bahasa Indonesia,Sangat lancar,Sangat lancar,Sangat lancar,Sangat lancar,dengan ibu,"Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris"
,,,,,,Bahasa Sunda,Lancar,Lancar,Agak lancar,Lancar,dengan bapak,Bahasa Indonesia
,,,,,,Bahasa Inggris,Lancar,Lancar,Agak lancar,Lancar,dengan kakak/adik,"Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris"
,,,,,,Slank,Sangat lancar,Sangat lancar,Sangat lancar,Sangat lancar,dengan nenek dan kakek,Bahasa Indonesia
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,Bahasa Indonesia
,,,,,,,,,,,dengan pembantu,Bahasa Indonesia
,,,,,,,,,,,apabila marah,"Bahasa Inggris, Slank"
,,,,,,,,,,,dalam mimpi,Bahasa Indonesia
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,kirim sms ke teman,"Bahasa Indonesia, Bahasa Inggris, Slank"
,,,,,,,,,,,kirim sms ke suami/istri ,
,,,,,,,,,,,dalam jejaring sosial (FB),"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,berdoa dalam hati,Bahasa Indonesia
,,,,,,,,,,,berdoa di tempat ibadah,Bahasa Indonesia
,,,,,,,,,,,di rumah,"Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris"
,,,,,,,,,,,di tempat kerja,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,di pasar,"Bahasa Indonesia, Bahasa Sunda"
,,,,,,,,,,,di warung,Bahasa Indonesia
,,,,,,,,,,,di bank,Bahasa Indonesia
,,,,,,,,,,,di kantor pos,Bahasa Indonesia
,,,,,,,,,,,di SD dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SD dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,"mampu baca, tapi saya nggak berkomuniklasi dengan buku"
,,,,,,,,,,,membaca koran,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca majalah,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar musik,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar radio,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
#20 5Mar UI,XSQXFC,1.30404E+23,1989,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Bahasa Indonesia,Sangat lancar,Sangat lancar,Sangat lancar,Sangat lancar,dengan ibu,"Bahasa Indonesia, Bahasa Jawa, Bahasa Inggris"
,,,,,,Bahasa Jawa,Lancar,Lancar,Lancar,Lancar,dengan bapak,"Bahasa Indonesia, Bahasa Manado"
,,,,,,Bahasa Manado,Lancar,Lancar,Lancar,Lancar,dengan kakak/adik,Bahasa Indonesia
,,,,,,Bahasa Inggris,Agak lancar,Agak lancar,Agak lancar,Agak lancar,dengan nenek dan kakek,Bahasa Indonesia
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,Bahasa Indonesia
,,,,,,,,,,,dengan pembantu,
,,,,,,,,,,,apabila marah,Bahasa Indonesia
,,,,,,,,,,,dalam mimpi,Macam-macam
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,Bahasa Indonesia singkatan
,,,,,,,,,,,kirim sms ke teman,Bahasa Indonesia singkatan
,,,,,,,,,,,kirim sms ke suami/istri ,
,,,,,,,,,,,dalam jejaring sosial (FB),Bahasa Indonesia
,,,,,,,,,,,berdoa dalam hati,Bahasa Indonesia
,,,,,,,,,,,berdoa di tempat ibadah,Bahasa Indonesia
,,,,,,,,,,,di rumah,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado, Bahsa Inggris"
,,,,,,,,,,,di tempat kerja,"Bahasa Indonesia, Bahasa Jawa, Bahasa Inggris"
,,,,,,,,,,,di pasar,"Bahasa Indonesia, Bahasa Jawa"
,,,,,,,,,,,di warung,Bahasa Indonesia
,,,,,,,,,,,di bank,Bahasa Indonesia
,,,,,,,,,,,di kantor pos,Bahasa Indonesia
,,,,,,,,,,,di SD dengan guru,Bahasa Indonesia
